"1597e2cfdfdb0ab4671c4f3549208a5b11d52a8a","1530","Aero the Acro-Bat 2 (Europe)"
"2ddbff8f227024806ca456c0ffe96def2713a9aa","1530","Aero the Acro-Bat 2 (USA)"
"1c472ff0f9bd4a50dc89c83d8fc91cdde23a3957","1534","Aerobiz (USA)"
"f8d6fc5d3d2ea3b5d8f5440fc837fcf5b1c49686","3159","Aerobiz Supersonic (USA)"
"bf14ffdea30d4df4d158a14e3b8f107df38d167b","","Aging Cassette (Japan)"
"8f4ba3bdfe097e24235ee7db56e92ede09cc0e07","2543","Aguri Suzuki F-1 Super Driving (Europe)"
"9cbae4303ee451a5e250a35ca77489d8b80978c8","","AIII S.V. - A Ressha de Ikou 3 - Super Version (Japan)"
"0f526a429170ebb8a7981a2b4df42203d4eca71d","273","Air Cavalry (Europe)"
"65f8142ddbce9c03b175d03ecfd304e8589227c1","273","Air Cavalry (USA)"
"beef4f80a8c3a3b844efc428e10034b587205a10","1534","Air Management - Oozora ni Kakeru (Japan)"
"acaaed5a29e434472f4751b740e644a036dee67a","1534","Air Management - Oozora ni Kakeru (Japan) (Rev 1)"
"409be2392977e9d0fe53041dff8ea22f55af4810","3159","Air Management II - Koukuu Ou o Mezase (Japan)"
"772c4e683771ba7e3a0eba7a26b1690d13980c6a","","Akagawa Jirou Majo-tachi no Nemuri (Japan)"
"a061d1b32303ec808983c473095ab50e1a9c1b2e","","Akazukin Chacha (Japan)"
"9df4028bc19ee63de884c26921135c721c882e34","1308","Akumajou Dracula (Japan)"
"28fcb0acd1c02ada4e81fc84552b8ff1eea79420","1553","Akumajou Dracula XX (Japan)"
"94d1c2e49a2af4169ef7bd01653edb71f39a4c53","1605","Al Unser Jr.'s Road to the Top (Europe)"
"0573c76efd98bf103f278365783a26c9cfd73bd3","1605","Al Unser Jr.'s Road to the Top (USA)"
"fd155afd8ffa81b0dc6e7990a18212538882e626","2868","Aladdin (Europe)"
"d0fc2d457dde02cb28b4d1c7248c97d1711e2fe2","2868","Aladdin (France)"
"a06aa6f4bb62951884adb3c7813fd93337d4750b","2868","Aladdin (Germany)"
"a9fc2e46a38fd51ebdc25f6f261925f7cb6754f7","2868","Aladdin (Japan)"
"db4c5ae21420aa79f4519b542b03962a9293464d","2868","Aladdin (Spain)"
"bd5fea18ce7456cc0231a39473927d8ea9c6589b","2868","Aladdin (USA)"
"48dda773437cd755c31d2422f1dfd3a3fd6ee76b","2868","Aladdin (USA) (Beta)"
"525ac489230002e2e9294846154d962ef9a2b941","23757","Albert Odyssey (Japan)"
"b3b78710000d467dc0304efa0245d2cf7ae23d88","23758","Albert Odyssey 2 - Jashin no Taidou (Japan)"
"dac852ea9ff3141de5dc6377307b16811f607008","13938","Alcahest (Japan)"
"10b4bb69733286b1997de882383e4eaf2a574210","3754","Alfred Chicken (Europe)"
"18b6fadbcee0741001537ad3f62c8477a2b664cf","","Alice no Paint Adventure (Japan)"
