"Description","Media Serial","Region","File","Size","MD5","CRC32"
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)","SNSP-A6SP-EUR","Europe","FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv).sfc","1572864","EE9652BEF0F7930BA02EC06028DD5BD2","8FAF17E5"
"FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv)","SNS-A6SE-USA","USA","FIFA Soccer 96 (USA) (En,Fr,De,Es,It,Sv).sfc","1572864","8B3448CCE7440268D34FA7B4C46C5966","7566347D"
"FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv)","SNS-A7IE-USA","USA","FIFA Soccer 97 (USA) (En,Fr,De,Es,It,Sv).sfc","1966080","C4B3EA8CE3780425EF7D8CE2F5951400","38916376"
"Fighter's History (Japan)","","","Fighter's History (Japan).sfc","2621440","CC9BAB1CDBD27348CB591C3B88BAFCC6","10751E4F"
"Fighter's History (USA) (Beta)","","","Fighter's History (USA) (Beta).sfc","2621440","D356548BA230A119ED41EA3A4272CDDC","283A57AA"
"Fighter's History (USA) (Rev 1)","SNS-YH-USA","USA","Fighter's History (USA) (Rev 1).sfc","2621440","4181E243AE146D471DC5C292DCE772AC","3D17F6EA"
"Fighter's History - Mizoguchi Kikiippatsu!! (Japan)","","","Fighter's History - Mizoguchi Kikiippatsu!! (Japan).sfc","3145728","6C3BF666A198666B3632F2786D5E5CE0","65BB5DC4"
"Fighting Baseball (Japan)","","","Fighting Baseball (Japan).sfc","1048576","9DA7CA59E6AB1215C704A968945975EF","7F3C1A95"
"Final Fantasy - Mystic Quest (USA)","","USA","Final Fantasy - Mystic Quest (USA).sfc","524288","DA08F0559FADE06F37D5FDF1B6A6D92E","6B19A2C6"
"Final Fantasy - Mystic Quest (USA)","SNS-MQ-USA","USA","Final Fantasy - Mystic Quest (USA).sfc","524288","DA08F0559FADE06F37D5FDF1B6A6D92E","6B19A2C6"
"Final Fantasy - Mystic Quest (USA)","SNS-MQ","USA","Final Fantasy - Mystic Quest (USA).sfc","524288","DA08F0559FADE06F37D5FDF1B6A6D92E","6B19A2C6"
"Final Fantasy - Mystic Quest (USA) (Rev 1)","","","Final Fantasy - Mystic Quest (USA) (Rev 1).sfc","524288","F7FAEAE5A847C098D677070920769CA2","2C52C792"
"Final Fantasy II (USA)","","USA","Final Fantasy II (USA).sfc","1048576","4FA9E542B954DCB954D5CE38188D9D41","65D0A825"
"Final Fantasy II (USA)","SNS-F4-USA","USA","Final Fantasy II (USA).sfc","1048576","4FA9E542B954DCB954D5CE38188D9D41","65D0A825"
"Finalset (Japan) (Beta)","","Japan","Finalset (Japan) (Beta).sfc","1048576","081B7732AF4EBF84061F9066CFC6C005","191DE0BE"
"Fire Emblem - Monshou no Nazo (Japan)","","Japan","Fire Emblem - Monshou no Nazo (Japan).sfc","3145728","2D674A5B82F7691CDB27702031D0F960","25D214F4"
"Fire Emblem - Monshou no Nazo (Japan) (Rev 1)","","","Fire Emblem - Monshou no Nazo (Japan) (Rev 1).sfc","3145728","0CB432DD9D5C1AFA5048334B110FDDC0","A427B7E6"
"Fire Emblem - Seisen no Keifu (Japan)","","Japan","Fire Emblem - Seisen no Keifu (Japan).sfc","4194304","D044F97BE5FC00BD5E02C935F7E88058","DC0D8CF9"
"Fire Emblem - Seisen no Keifu (Japan)","SHVC-A32J","Japan","Fire Emblem - Seisen no Keifu (Japan).sfc","4194304","D044F97BE5FC00BD5E02C935F7E88058","DC0D8CF9"
"Fire Emblem - Thracia 776 (Japan)","","Japan","Fire Emblem - Thracia 776 (Japan).sfc","4194304","C3FD1CAD754256D7A013864D917F47FA","FC519952"
"Fire Emblem - Thracia 776 (Japan) (NP)","","","Fire Emblem - Thracia 776 (Japan) (NP).sfc","4194304","26BE9C87AAC0CB3D3AF5DFFB4E6AA059","BC6162AE"
"Fire Emblem - Thracia 776 (Japan) (Rev 1) (NP)","none","Japan","Fire Emblem - Thracia 776 (Japan) (Rev 1) (NP).sfc","4194304","B128F6CBBD323CDCD34A5B06003E1135","EAAA2C53"
"Fire Fighting (Japan)","","","Fire Fighting (Japan).sfc","1048576","A80931F371743685664222A7A8C45AED","554FC152"
"Fire Pro Joshi - All Star Dream Slam (Japan)","SHVC-J4","Japan","Fire Pro Joshi - All Star Dream Slam (Japan).sfc","2097152","F4C2D8C2DF8FDDD669F3753F37264F42","EC8E8A05"
"Firearm (USA) (Proto)","","USA","Firearm (USA) (Proto).sfc","524288","DAEA82FEE63F9F8B0892833CB538159A","9AA13682"
"Firemen, The (Europe) (En,Fr,De)","","","Firemen, The (Europe) (En,Fr,De).sfc","1048576","AC995AB6F5667BE14EB6471458E491D3","DEF665AF"
"Firemen, The (Japan)","","Japan","Firemen, The (Japan).sfc","1048576","79C9FFE304FA775CE3EC15270058F41B","15F2271D"
"Firemen, The (Europe) (Beta)","","USA","Firemen, The (Europe) (Beta).sfc","1048576","C5888542C2583D3F518E2C6DB2140AAD","B9C82442"
"Firepower 2000 (USA)","","USA","Firepower 2000 (USA).sfc","1048576","650E587408E8691C511E831DE5F606DC","327416D4"
"Firepower 2000 (USA)","SNS-FW-USA","USA","Firepower 2000 (USA).sfc","1048576","650E587408E8691C511E831DE5F606DC","327416D4"
"FireStriker (USA)","","USA","FireStriker (USA).sfc","1048576","A9BB24A7622114B91CA85DCB30026830","E500C7BA"
"FireStriker (USA)","SNS-3S-USA","USA","FireStriker (USA).sfc","1048576","A9BB24A7622114B91CA85DCB30026830","E500C7BA"
"FireStriker (USA) (Beta)","","","FireStriker (USA) (Beta).sfc","1048576","A72F10336EC1AC372B4A2AE7DC43D265","BBBBABB6"
"Fireteam Rogue (USA) (Proto 1)","","","Fireteam Rogue (USA) (Proto 1).sfc","2097152","6B06F156CA732B21FD8C7960E9634E90","00F67BA2"
"Fireteam Rogue (USA) (Proto 2)","","USA","Fireteam Rogue (USA) (Proto 2).sfc","2097152","9A742DA05B50914F9F3C0AE64A877F28","4F659FD5"
"First Queen - Ornic Senki (Japan)","","Japan","First Queen - Ornic Senki (Japan).sfc","1048576","BF5650713EDCD27821149162FF9ACB91","BE3DE834"
"First Samurai (Europe)","SNSP-FK-UKV","Europe","First Samurai (Europe).sfc","524288","4A1BB571C917B1A410FEF58B5614547D","5685773A"
"First Samurai (Europe) (Beta)","","","First Samurai (Europe) (Beta).sfc","524288","E5400FD97A513B5A42F815A1715750D4","9B855ED0"
"First Samurai (Japan)","","","First Samurai (Japan).sfc","524288","78D8898B37390D3A29A44D2C71458FB1","B249401B"
"First Samurai (USA)","","USA","First Samurai (USA).sfc","524288","8A72B499041F58EE065D314F445A67A3","4F0A1E2A"
"First Samurai (USA)","SNS-FK-USA","USA","First Samurai (USA).sfc","524288","8A72B499041F58EE065D314F445A67A3","4F0A1E2A"
"Fishing Koushien (Japan)","","","Fishing Koushien (Japan).sfc","2097152","43B714DD30B5BC6A6AABF1991AD36835","DCFE0B6B"
"Flashback (Europe) (En,Fr,De)","SNSP-5F-SCN","Europe","Flashback (Europe) (En,Fr,De).sfc","2097152","49930C477F99A4FE1E30151C9ABAD663","A0525B9C"
"Flashback (Japan)","","","Flashback (Japan).sfc","2097152","B41C0120BF96051D2A3CA3502A7D9823","CD09A892"
"Flashback - The Quest for Identity (USA) (En,Fr,De)","SNS-5F-USA","USA","Flashback - The Quest for Identity (USA) (En,Fr,De).sfc","2097152","1321B154C39E894FFB25ECBE13455544","1E6ACEBA"
"Flintstones, The (Europe) (En,Fr,De,Es,It)","","","Flintstones, The (Europe) (En,Fr,De,Es,It).sfc","2097152","5BFF107357BEDE12A3D2D4D2CA9B7488","85A8B156"
"Flintstones, The (Europe) (En,Fr,De,Es,It) (Beta)","","","Flintstones, The (Europe) (En,Fr,De,Es,It) (Beta).sfc","2097152","3865EDFC31B72C287DC202A404B381C0","15143605"
"Flintstones, The (USA) (Beta)","","","Flintstones, The (USA) (Beta).sfc","1048576","9FCBFD8B72B9A2D1A25916BB443BE657","CC3E9C19"
"Flintstones, The (USA) (En,Fr,De,Es,It)","SNS-AFNE-USA","USA","Flintstones, The (USA) (En,Fr,De,Es,It).sfc","2097152","C012D50635485789B5A31B1FA0D51AF6","3E7B51E0"
"Flintstones, The - The Treasure of Sierra Madrock (USA) (Beta)","","USA","Flintstones, The - The Treasure of Sierra Madrock (USA) (Beta).sfc","1048576","CEA8F212E29993220E570977FEA07E24","BFC15ED9"
"Flintstones, The - The Treasure of Sierra Madrock (Europe)","","","Flintstones, The - The Treasure of Sierra Madrock (Europe).sfc","1048576","4AF381C7FC97FE63FEB5B005EFB53B76","CC846DC4"
"Flintstones, The - The Treasure of Sierra Madrock (Japan)","","","Flintstones, The - The Treasure of Sierra Madrock (Japan).sfc","1048576","1F4035249A43573F3B65A6FD0D047C35","53D29A71"
"Flintstones, The - The Treasure of Sierra Madrock (USA)","","USA","Flintstones, The - The Treasure of Sierra Madrock (USA).sfc","1048576","C7DB2A255421554BA940099CAAD060EE","594F5CC6"
"Flintstones, The - The Treasure of Sierra Madrock (USA)","SNS-9F-USA","USA","Flintstones, The - The Treasure of Sierra Madrock (USA).sfc","1048576","C7DB2A255421554BA940099CAAD060EE","594F5CC6"
"Flying Hero - Bugyuru no Daibouken (Japan)","","Japan","Flying Hero - Bugyuru no Daibouken (Japan).sfc","1048576","150F83E84F913230B8D1F2230E72B041","1A19FC3A"
"Football Fury (USA)","SNS-UF-USA","USA","Football Fury (USA).sfc","1048576","C16CD8A812807A036E02623E8A2351C9","729A5524"
"Foreman for Real (Europe)","SNSP-AFEP-EUR","Europe","Foreman for Real (Europe).sfc","3145728","B92066B5A3BF1504836AAC5FFA3421F2","8C1B9F50"
"Foreman for Real (Japan) (En)","","","Foreman for Real (Japan) (En).sfc","3145728","6D6C629AD9E2BDB3C89E0587438BEDA8","D7576775"
"Foreman for Real (USA)","SNS-AFEE-USA","USA","Foreman for Real (USA).sfc","3145728","15F2659730163920BCF6290FD7CA6128","5FA4D051"
"Fortune Quest - Dice o Korogase (Japan)","SHVC-FQ","Japan","Fortune Quest - Dice o Korogase (Japan).sfc","1048576","CEA1C1F391252D67BEE0934B07C87267","448E3712"
"Frank Thomas Big Hurt Baseball (Europe)","SNSP-AFKP-EUR","Europe","Frank Thomas Big Hurt Baseball (Europe).sfc","3145728","17430ED06AC0B9F8E1E13F2ED49D26F5","50300F58"
"Frank Thomas Big Hurt Baseball (Japan) (En)","","","Frank Thomas Big Hurt Baseball (Japan) (En).sfc","3145728","03C1E7EAA124CA127F81A20339872A21","1A895B24"
"Frank Thomas Big Hurt Baseball (USA)","SNS-AFKE-USA","USA","Frank Thomas Big Hurt Baseball (USA).sfc","3145728","98E4921FADEAE7936190E974B92DAC87","21239DDA"
"Frantic Flea (Europe)","SNSP-AF8P-EUR","Europe","Frantic Flea (Europe).sfc","2097152","9D14E9BBFA16C9718A9339703646F626","CE5C3AF9"
"Frantic Flea (Europe) (Beta)","","","Frantic Flea (Europe) (Beta).sfc","2097152","507E9FB6959777CCAE753AA4F8B7423D","4DA05714"
"Frantic Flea (USA)","","USA","Frantic Flea (USA).sfc","2097152","0EFF399B3E236585C9D962E2AB8433CE","FFA8D1FF"
"Frantic Flea (USA)","SNS-AF8E-USA","USA","Frantic Flea (USA).sfc","2097152","0EFF399B3E236585C9D962E2AB8433CE","FFA8D1FF"
"Frogger (USA)","SNS-AF7E-USA","USA","Frogger (USA).sfc","524288","B51604DEF7401AF4B71CBAA501B2F00E","2488B8F2"
"From TV Animation Slam Dunk - Dream Team - Shuueisha Limited (Japan)","","","From TV Animation Slam Dunk - Dream Team - Shuueisha Limited (Japan).sfc","1572864","4716BCC084DF44FE01FBFC1222BD5C95","99276EAA"
"From TV Animation Slam Dunk - SD Heat Up!! (Japan)","","","From TV Animation Slam Dunk - SD Heat Up!! (Japan).sfc","1572864","665FC614EF687FD2158E738CC1FD710D","D05114C0"
"From TV Animation Slam Dunk - Yonkyou Gekitotsu!! (Japan)","","","From TV Animation Slam Dunk - Yonkyou Gekitotsu!! (Japan).sfc","1572864","26AC79C18C80BEDDF753CCFEA16393C3","35B21BBA"
"From TV Animation Slam Dunk 2 - IH Yosen Kanzen Ban!! (Japan)","","","From TV Animation Slam Dunk 2 - IH Yosen Kanzen Ban!! (Japan).sfc","3145728","A2A7611E27201748883626B0CAE094E6","AA2B7692"
"Front Mission (Japan)","SHVC-AGCJ-JPNc","Japan","Front Mission (Japan).sfc","3145728","8098A3D165FFF3E4D786E2902D21FD2C","FE27E061"
"Front Mission (Japan) (Rev 1)","SHVC-AGCJ-JPNb","Japan","Front Mission (Japan) (Rev 1).sfc","3145728","7D557D4EE07B3CED3240D636A57B8BD0","50278B21"
"Front Mission Series - Gun Hazard (Japan)","","Japan","Front Mission Series - Gun Hazard (Japan).sfc","3145728","2FE3C9AF984BD684E1FE681D2901587E","FD3FDBAC"
"Front Mission Series - Gun Hazard (Japan)","SHVC-AZGJ-JPN","Japan","Front Mission Series - Gun Hazard (Japan).sfc","3145728","2FE3C9AF984BD684E1FE681D2901587E","FD3FDBAC"
"Full Power (Japan)","","","Full Power (Japan).sfc","2097152","2EF2A029D8DB36A3E899182069D43F8A","66C04587"
"Full Throttle - All-American Racing (Europe)","SNSP-AFTP-EUR","Europe","Full Throttle - All-American Racing (Europe).sfc","2097152","94787721886FDDF84014BED682732B47","861F2E42"
"Full Throttle - All-American Racing (USA)","SNS-AFTE-USA","USA","Full Throttle - All-American Racing (USA).sfc","2097152","FF9755523906F939ADB67777552B67C9","2A4A53CA"
"Full Throttle - All-American Racing (USA) (Beta)","","","Full Throttle - All-American Racing (USA) (Beta).sfc","2097152","530A2F1DB5471B962FBD58B493F115EF","E96E463C"
"Fun 'n Games (Europe)","SNSP-7N-UKV","Europe","Fun 'n Games (Europe).sfc","1048576","AA3D03C80C3664EB9DB73F9CA6D7C3CF","09FF2DFE"
"Fun 'n Games (USA)","SNS-7N-USA","USA","Fun 'n Games (USA).sfc","1048576","1708F6DAD3795C560B989972E725BC0E","5D6DEAC7"
"Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan)","","","Funaki Masakatsu Hybrid Wrestler - Tougi Denshou (Japan).sfc","2097152","0C22E18563B7B26A514C724ABA6ADB84","D1909FFB"
"Fune Tarou (Japan)","","","Fune Tarou (Japan).sfc","2097152","52FE0FF8D539E8A69EA1746E7E83CF3E","5D6BA598"
"Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan)","","","Furuta Atsuya no Simulation Pro Yakyuu 2 (Japan).sfc","2097152","FCF1865B451FB60AE1318FCEE1D5A194","566176FA"
"Fushigi no Dungeon 2 - Fuurai no Shiren (Japan)","SHVC-AAXJ","Japan","Fushigi no Dungeon 2 - Fuurai no Shiren (Japan).sfc","4194304","8C8FC738EAE4EB714B43889767DAF094","AF5703EE"
"Fushigi no Dungeon 2 - Fuurai no Shiren (Japan) (Rev 1) (NP)","","","Fushigi no Dungeon 2 - Fuurai no Shiren (Japan) (Rev 1) (NP).sfc","4194304","6CDD5607E78D7F240EA7AA85565C97C2","824AA6B5"
"G.O.D - Mezame yo to Yobu Koe ga Kikoe (Japan)","","Japan","G.O.D - Mezame yo to Yobu Koe ga Kikoe (Japan).sfc","3145728","ED35A998C76D415C518CDEE1959D2AFA","4D2CE16F"
"Gaia Gensouki (Japan)","","","Gaia Gensouki (Japan).sfc","2097152","8EAFD7D45DADBBBB95CBC95E8F35C59E","B344E9A0"
"Gaia Saver - Hero Saidai no Sakusen (Japan)","","Japan","Gaia Saver - Hero Saidai no Sakusen (Japan).sfc","1572864","0AB069047F1B03983241C014F8378555","EE6534B5"
"Gakkou de Atta Kowai Hanashi (Japan)","SHVC-AHXJ","Japan","Gakkou de Atta Kowai Hanashi (Japan).sfc","3145728","1C9BA754FB7C18266D028BF3010E5412","94B93B25"
"Galaxy Robo (Japan)","","Japan","Galaxy Robo (Japan).sfc","1572864","52C34E40808950A2C985C1C3962C30D9","BEE62812"
"Galaxy Wars (Japan) (En)","","","Galaxy Wars (Japan) (En).sfc","262144","62D8C5570EE19F996B7656B7084DAD81","F159CA70"
"Gambler Jiko Chuushinha - Mahjong Kouisen (Japan)","","","Gambler Jiko Chuushinha - Mahjong Kouisen (Japan).sfc","524288","9056DB0BDA2B6A835732F2905F50F804","8EBD1223"
"Gambler Jiko Chuushinha 2 - Dorapon Quest (Japan)","","","Gambler Jiko Chuushinha 2 - Dorapon Quest (Japan).sfc","1048576","4E84E215F25001C109102575C2737110","4D098C5C"
"Gambling Hourouki (Japan)","","","Gambling Hourouki (Japan).sfc","1048576","ADBAEFD252475BEA6E3B58094F5A5347","43B2590D"
"Game Genie (USA) (Unl) [b]","","","Game Genie (USA) (Unl) [b].sfc","32768","9B6636B1908D672244BD687F0B388465","F8D4C303"
"Game Genie (USA) (Alt 1) (Unl) [b]","","","Game Genie (USA) (Alt 1) (Unl) [b].sfc","65536","A7D74A21EBE4D2FAFE0E9B8BB089D3E0","58CBF2FE"
"Game Genie (USA) (v2.0) (Unl)","","","Game Genie (USA) (v2.0) (Unl).sfc","32768","E5213200466A1C7A3CAFEB42E773DA37","AC94F94A"
"Game no Tatsujin (Japan)","","","Game no Tatsujin (Japan).sfc","2097152","E7D30CDDD41ED114F4E646DA80BEEA79","A3203356"
"Game no Tetsujin - The Shanghai (Japan)","","","Game no Tetsujin - The Shanghai (Japan).sfc","2097152","58F6ED933772C88FAD2D027E0B546DB9","E50BBFB7"
"Game Saver (Europe) (v1.6) (Unl)","","","Game Saver (Europe) (v1.6) (Unl).sfc","32768","F672008235E46D786C4683D3FA136210","9DA23B4A"
"Game Saver (Europe) (v1.7) (Unl)","","","Game Saver (Europe) (v1.7) (Unl).sfc","32768","78CA9AE5FCBBB83019B05E29D447C6F5","F2225203"
"Gamera - Gyaos Gekimetsu Sakusen (Japan)","","","Gamera - Gyaos Gekimetsu Sakusen (Japan).sfc","1572864","7DB5D13A4B6FEFCE823D407BBA95D232","BDB4DD84"
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan)","","","Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan).sfc","1048576","57222BF254226E8BB26216C2D064E8F1","ADDE8D79"
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 2)","","","Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 2).sfc","1048576","8478D65A49CCD0FE68CEFC6757153730","6CD62399"
"Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 1)","SHVC-GG","Japan","Ganbare Goemon - Yuki Hime Kyuushutsu Emaki (Japan) (Rev 1).sfc","1048576","D00E23A0B2AA22358CBE317600014168","830BC11C"
"Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan)","","","Ganbare Goemon 2 - Kiteretsu Shougun Magginesu (Japan).sfc","2097152","AFD06ADE29B5270A79199A531B0C7964","CA4C0219"
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan)","","Japan","Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan).sfc","2097152","7DA54082F302C3F781539F371691EC2F","7E5929E8"
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2)","","","Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 2).sfc","2097152","22CB2B6F488676BEDB89BAA051D94D56","AF984BC1"
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1)","SHVC-2U","Japan","Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Rev 1).sfc","2097152","D2D05C2A7A8FA297DC46FCD935A1D534","458C473B"
"Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Sample)","","Japan","Ganbare Goemon 3 - Shishi Juurokubee no Karakuri Manjigatame (Japan) (Sample).sfc","2097152","FFE65E5D8EB7E93CD22C9E910E152E7D","9A1AEA39"
"Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan)","","Japan","Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan).sfc","3145728","A53BEE4978D7C8E13CDEC5151207DE54","BB9D8E56"
"Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2)","","Japan","Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 2).sfc","3145728","19DA7F2058C6A96E3471CA8A65234095","C20720C2"
"Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 1)","","","Ganbare Goemon Kirakira Douchuu - Boku ga Dancer ni Natta Wake (Japan) (Rev 1).sfc","3145728","60FA42187F30BA97B7FF6C9F1FDC7F82","04D1E7CF"
"Ganbare! Daiku no Gen-san (Japan)","","Japan","Ganbare! Daiku no Gen-san (Japan).sfc","1048576","9866B522BEC493784B124CA70CE69919","206BD866"
"Gangan Gan-chan (Japan)","","Japan","Gangan Gan-chan (Japan).sfc","1048576","C82666233F216DB472C77F8FD611DA6B","A220C6D5"
"Ganpuru - Gunman's Proof (Japan)","","Japan","Ganpuru - Gunman's Proof (Japan).sfc","3145728","C79CA7C76D169FD42524FA7DBA2317F7","AF415C24"
"Ganpuru - Gunman's Proof (Japan) (Beta)","","Japan","Ganpuru - Gunman's Proof (Japan) (Beta).sfc","3145728","209D36AC912D60EE71E0D8492016C7F4","72FEB165"
"Ganso Pachi-Slot Nihonichi (Japan)","","","Ganso Pachi-Slot Nihonichi (Japan).sfc","1048576","7752EAA11F5B8B63C42C8B38E6611181","18BBAD5C"
"Ganso Pachinko Ou (Japan)","","","Ganso Pachinko Ou (Japan).sfc","1048576","5D449F0CD4402138466476B0882398A6","73453C46"
"Garou Densetsu - Shukumei no Tatakai (Japan)","","","Garou Densetsu - Shukumei no Tatakai (Japan).sfc","1572864","5E6E7690741A306A76287A99BDF98F12","0D549E3E"
"Garou Densetsu - Shukumei no Tatakai (Japan) (Rev 1)","","","Garou Densetsu - Shukumei no Tatakai (Japan) (Rev 1).sfc","1572864","921F3B70F4D61B8F30E470C684D66015","AE4DFED0"
"Garou Densetsu 2 - Aratanaru Tatakai (Japan)","","","Garou Densetsu 2 - Aratanaru Tatakai (Japan).sfc","2621440","792DA145E618A034DE1A4CAF4EE2E612","FBF3ABDF"
"Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1)","","","Garou Densetsu 2 - Aratanaru Tatakai (Japan) (Rev 1).sfc","2621440","490D3D56D05EABFB38C6ED3954EFC272","3EE1B2D2"
"Garou Densetsu Special (Japan)","SHVC-3R","Japan","Garou Densetsu Special (Japan).sfc","4194304","906A3DA585415529B20BD0708FD91486","C1F68C7A"
"Garry Kitchen's Super Battletank (Europe)","SNSP-SB-UKV","Europe","Garry Kitchen's Super Battletank (Europe).sfc","524288","603DFC96EB23F6F07F01CF03D210D252","FE7DE9CE"
"Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1)","SNS-SB-USA","USA","Garry Kitchen's Super Battletank - War in the Gulf (USA) (Rev 1).sfc","524288","7BF610F0E0F5A6867696424715853FCB","77811B34"
"Garry Kitchen's Super Battletank - War in the Gulf (USA)","SNS-SB-USA","USA","Garry Kitchen's Super Battletank - War in the Gulf (USA).sfc","524288","87B3518E0E3A15655D2D8D4CBA0BDF9A","2CE0C852"
"Gdleen (Japan)","","","Gdleen (Japan).sfc","1048576","8CEB98C7FAA02FE0E254DC11689C32D6","F0205FED"
"Gdleen (Japan) (Rev 1)","","Japan","Gdleen (Japan) (Rev 1).sfc","1048576","06C360E481287D9B79B2ABC9FC7FA713","09692C77"
"Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan)","","","Gegege no Kitarou - Fukkatsu! Tenma Daiou (Japan).sfc","1048576","8D3CDA486DC901EBC546C57513131323","E51FB6F8"
"Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan)","","","Gekitotsu Dangan Jidousha Kessen - Battle Mobile (Japan).sfc","1048576","F03545B1932D26A755B9DCEF3ADEEF59","3E88E883"
"Gekitou Burning Pro Wres (Japan)","","","Gekitou Burning Pro Wres (Japan).sfc","2621440","BD3C30130FF795A7BC826B84A1B23F34","B2E7FC76"
"Gemfire (USA)","SNS-RL-USA","USA","Gemfire (USA).sfc","1048576","CDB89D0358E2008402BC3767BAD96120","EE801A54"
"Genghis Khan II - Clan of the Gray Wolf (USA)","SNS-6G-USA","USA","Genghis Khan II - Clan of the Gray Wolf (USA).sfc","1048576","DF368F8933DEC39C701908F10480EDDC","D7875512"
"Genjuu Ryodan (Japan) (NP)","","","Genjuu Ryodan (Japan) (NP).sfc","4194304","022261F6ADD3432435DF430166EA9BD2","8D9BFFC8"
"Genocide 2 (Japan)","","","Genocide 2 (Japan).sfc","2097152","156E52E1CFC79738F0C731FF24AB0736","DE40AA12"
"Genocide 2 (Japan) (Beta)","","","Genocide 2 (Japan) (Beta).sfc","262144","F34B682C01BB159606667B9CCF25528B","F8876331"
"George Foreman's KO Boxing (Europe)","SNSP-GK-UKV","Europe","George Foreman's KO Boxing (Europe).sfc","1048576","B3DF09E19706763E5EAD764D384C891F","09FE6EC1"
"George Foreman's KO Boxing (USA)","SNS-GK-USA","USA","George Foreman's KO Boxing (USA).sfc","1048576","644BDFDB98B06F274C2E733405D8C3B0","AF571267"
"George Foreman's KO Boxing (USA) (Doritos Promo)","","","George Foreman's KO Boxing (USA) (Doritos Promo).sfc","1048576","5752112E36DF731779E7A79086ED2FB8","71056BF3"
"George Foreman's KO Boxing (USA) (Rev 1)","","","George Foreman's KO Boxing (USA) (Rev 1).sfc","1048576","3730038022258338D4882F401AB328F9","15194FC9"
"Gerry Anderson's Thunderbirds - Kokusai Kyuujotai Shutsudou Seyo!! (Japan)","","","Gerry Anderson's Thunderbirds - Kokusai Kyuujotai Shutsudou Seyo!! (Japan).sfc","1048576","0C25503647EE300B1404259E8C277D58","623F2197"
"Get in the Hole (Japan)","","","Get in the Hole (Japan).sfc","1572864","4919FD87326EAD4EA059A8323C17D26A","7F0D601D"
"Getsumen no Anubis (Japan)","","","Getsumen no Anubis (Japan).sfc","3145728","F789987300FA08B393033A5F9BBD1CB2","78432DDC"
"Ghost Chaser Densei (Japan)","","Japan","Ghost Chaser Densei (Japan).sfc","2097152","EF77227B9630CABC3BE072CEB6D71312","DFD6385D"
"Ghoul Patrol (Europe)","SNSP-AGJP-EUR","Europe","Ghoul Patrol (Europe).sfc","1048576","F1A8BD8DC3F5013D3AFAE9721277FD94","2C6CEFE7"
"Ghoul Patrol (Japan)","","","Ghoul Patrol (Japan).sfc","1048576","51FF5C42EAB1017872E451BF9369F08A","5519AF34"
"Ghoul Patrol (USA)","SNS-AGJE-USA","USA","Ghoul Patrol (USA).sfc","1048576","657FA94CFF4464CBC58C476EA642299A","EA16B5A2"
"Gindama Oyakata no Pachinko Hisshouhou (Japan)","SHVC-AJPJ-JPN","Japan","Gindama Oyakata no Pachinko Hisshouhou (Japan).sfc","1572864","6756DA8B230263AD67C5411480EEF63E","7ADACC49"
"Gindama Oyakata no Pachinko Hisshouhou (Japan) (Rev 1)","","","Gindama Oyakata no Pachinko Hisshouhou (Japan) (Rev 1).sfc","1572864","4B61A35AA65B4E3961E9DC33835BCF07","B8C7A417"
"Ginga Eiyuu Densetsu (Japan)","","","Ginga Eiyuu Densetsu (Japan).sfc","1048576","67479D8591D05C9C5C9EC52A8F58987F","2E480EEF"
"Ginga Sengoku Gunyuuden Rai (Japan)","","","Ginga Sengoku Gunyuuden Rai (Japan).sfc","2097152","9067CE954399AADE86E2D21665168715","98F76260"
