"Description","Media Serial","Region","File","Size","MD5","CRC32"
"Addams Family Values (Europe) (En,Fr,De)","SNSP-VY-UKV","Europe","Addams Family Values (Europe) (En,Fr,De).sfc","2097152","4A34AB48CC89B871D7B3E4C15FEDF2B6","AE38ADB6"
"Addams Family Values (USA) (En,Fr,De)","","USA","Addams Family Values (USA) (En,Fr,De).sfc","2097152","7E52067E9CB3E6A190272A9D1D75A9AF","98B07DB8"
"Addams Family Values (USA) (En,Fr,De)","SNS-VY-USA","USA","Addams Family Values (USA) (En,Fr,De).sfc","2097152","7E52067E9CB3E6A190272A9D1D75A9AF","98B07DB8"
"Addams Family, The (Europe) (En,Fr,De)","SNSP-AF-UKV","Europe","Addams Family, The (Europe) (En,Fr,De).sfc","1048576","1687307B1E71AEDFEBCF60810CA93DA6","82497F19"
"Addams Family, The (Japan)","","","Addams Family, The (Japan).sfc","1048576","9523A150ECD1203152304FCB49DE9B7C","CD80351C"
"Addams Family, The (USA)","","USA","Addams Family, The (USA).sfc","1048576","278A88ADB028A8E4C279B9B468B592ED","2E8034AB"
"Addams Family, The (USA)","SNS-AF-USA","USA","Addams Family, The (USA).sfc","1048576","278A88ADB028A8E4C279B9B468B592ED","2E8034AB"
"Addams Family, The (USA) (Arcade)","","","Addams Family, The (USA) (Arcade).sfc","1048576","36C042BEE23C6326B034FEB005FC5A2E","6F563ADF"
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)","SNSP-AH-UKV","Europe","Addams Family, The - Pugsley's Scavenger Hunt (Europe).sfc","1048576","7A48EC4A72E15DC7851677531490FA2C","644E7FBF"
"Addams Family, The - Pugsley's Scavenger Hunt (USA)","","USA","Addams Family, The - Pugsley's Scavenger Hunt (USA).sfc","1048576","2DC248F730B474E24452EBA7971DFBD9","153A00A7"
"Addams Family, The - Pugsley's Scavenger Hunt (USA)","SNS-AH-USA","USA","Addams Family, The - Pugsley's Scavenger Hunt (USA).sfc","1048576","2DC248F730B474E24452EBA7971DFBD9","153A00A7"
